Complaint viewed,ryanmiller,2024-5-19 20:34:48,Unable to load uploaded datas in Profile,CMP168842074,Customer wanted Updates on Complaint
Data deleted,ryanmiller,2024-5-19 20:35:34,,,As per request by User
New user inserted,ryanmiller,2024-5-19 20:36:2,,,
Data retrieved,ryanmiller,2024-5-19 20:36:46,,,As per request by User
Data modified,ryanmiller,2024-5-20 14:19:53,784596387,8965745891,As Per user request
Data modified,ryanmiller,2024-5-20 14:20:56,ryan@gmail.com,ryanmiller@gmail.com,As per user request
Data modified,ryanmiller,2024-5-20 14:21:36,ryanmiller@gmail.com,ryan@gmail.com,As per user request
Complaint viewed,jeffbejos,2024-5-31 0:13:45,Fake Account Created in the name of another user.,CMP936854925,As per user review request
New complaint added,laurencebishnoi,2024-5-31 0:15:12,,CMP253539631,As per user request over call.
Complaint viewed,laurencebishnoi,2024-5-31 0:18:19,The user guess that multiple devices may have unauthorised access to his account. He wants to make his account more secure. Needs expert consultation,CMP253539631,As per user request
New complaint added,CMP939241114,2024-5-31 0:19:18,ryanmiller,,As per user's request over the call.
Complaint viewed,CMP939241114,2024-5-31 0:22:3,ryanmiller,User is unable to access his account. Needs expert consultation.,As per user request over the call
New complaint added,CMP210848069,2024-5-31 0:25:47,connorking,,As per user's request over the call.
Data retrieved,ryanmiller,2024-6-3 23:34:12,,,As per user request
New complaint added,CMP717368291,2024-6-9 17:42:28,connorking,,User request'
Complaint viewed,CMP717368291,2024-6-9 17:42:51,connorking,Not allowed to login,User requ
Complaint viewed,CMP717368291,2024-6-9 17:43:18,connorking,Not allowed to login,uSER R
Complaint viewed,CMP210848069,2024-6-9 17:43:54,connorking,User detect multiple abnormal activities like repeated password automatically change in his account. Needs expert consultation.,Solved - Remarked by user
New complaint added,CMP740712252,2024-6-18 21:32:40,ommprakashsahu,,User Interaction over Phone Call
Complaint viewed,CMP740712252,2024-6-18 21:33:54,ommprakashsahu,User has not got the refund even after cancelling the Order still he sees that order is cancelled.\,User asked for Complaint Status
Complaint viewed,CMP548994561,2024-6-18 21:35:33,connorking,I am the guy,cd "c:\Aa Omm Prakash Sahu\VS CODE\C++\Database using  CPP\Admin\" ; if ($?) { g++ DataEntry.cpp -o DataEntry } ; if ($?) { .\DataEntry }
New user inserted,herokuminar,2024-6-18 21:36:28,,,
Data retrieved,ommprakashsahu,2024-6-19 21:25:6,,,As per Required by the Seller Hub
Data retrieved,akashbarik,2024-6-27 1:6:58,,,As per user request
New complaint added,CMP197810798,2024-6-27 1:8:11,ommprakashsahu,,As per user request
New complaint added,CMP116838181,2024-7-12 20:24:22,ommprakashsahu,,As per user request.
Complaint viewed,CMP116838181,2024-7-12 20:24:54,ommprakashsahu,Unable to access account. Writes that Account suspended temporarily. Contact Support team,Solved 
Data modified,ommprakashsahu,2024-7-12 20:27:13,omm@123,Omm@123,User requested to change to make its first letter capital
New user inserted,niharranjan,2024-9-28 0:38:26,,,
Data retrieved,niharranjan,2024-9-28 0:40:8,,,
Data deleted,niharranjan,2024-10-8 18:18:26,,,As per urgency required.
Data modified,ommprakashsahu,2024-10-8 18:19:50,Omm@123,omm@123,As per user request.
